time,fluorescence
4.9,0.7954901
4.916667,0.6976014
4.933333,0.6164237
4.95,0.5238222
4.966667,0.4578985
4.983333,0.4058113
5,0.3582289
5.016667,0.307149
5.033333,0.2790329
5.05,0.2498919
5.066667,0.2266205
5.083333,0.207123
5.1,0.1859997
5.116667,0.1634715
5.133333,0.1519067
5.15,0.1451847
5.166667,0.1266821
5.183333,0.1252164
5.2,0.120018
5.216667,0.1068511
5.233333,0.09505282
5.25,0.0928676
5.266667,0.09130738
5.283333,0.08382157
5.3,0.07837105
5.316667,0.0797561
5.333333,0.07977633
5.35,0.07945193
5.366667,0.07753645
5.383333,0.08103144
5.4,0.0873872
5.416667,0.08785892
5.433333,0.09968343
5.45,0.1088266
5.466667,0.11576
5.483333,0.1244457
5.5,0.1372037
5.516667,0.142048
5.533333,0.1387761
5.55,0.1355461
5.566667,0.1287811
5.583333,0.1155826
5.6,0.1079341
5.616667,0.1033648
5.633333,0.0928119
5.65,0.09650457
5.666667,0.1015272
5.683333,0.1016397
5.7,0.109191
5.716667,0.1084621
5.733333,0.1344495
5.75,0.2333317
5.766667,0.3503968
5.783333,0.3405235
5.8,0.2663714
5.816667,0.1919661
5.833333,0.1478706
5.85,0.119446
5.866667,0.0951728
5.883333,0.07623217
5.9,0.05518898
5.916667,0.05736466
5.933333,0.04062493
5.95,0.04830708
5.966667,0.03788136
5.983333,0.03994136
6,0.04029616
6.016667,0.0372803
6.033333,0.03307532
6.05,0.04166313
6.066667,0.0368956
6.083333,0.03923253
6.1,0.04136975
6.116667,0.04028478
6.133333,0.03882116
6.15,0.04630197
6.166667,0.04191773
6.183333,0.04898757
6.2,0.04958445
6.216667,0.04484216
6.233333,0.04942847
6.25,0.04721342
6.266667,0.0515506
6.283333,0.05470996
6.3,0.05202682
6.316667,0.05492858
6.333333,0.0502581
6.35,0.0521623
6.366667,0.04369398
6.383333,0.03785707
6.4,0.0411932
6.416667,0.03525643
6.433333,0.02985005
6.45,0.02379227
6.466667,0.04009933
6.483333,0.05618048
6.5,0.09359701
6.516667,0.1326956
6.533333,0.1529306
6.55,0.1541627
6.566667,0.1492748
6.583333,0.1421956
6.6,0.1361647
6.616667,0.1192883
6.633333,0.1040431
6.65,0.09898631
6.666667,0.09252772
6.683333,0.07274027
6.7,0.06048536
6.716667,0.05374926
6.733333,0.04898499
6.75,0.05351437
6.766667,0.05688158
6.783333,0.06101419
6.8,0.06480706
6.816667,0.07585953
6.833333,0.07169418
6.85,0.08151384
6.866667,0.0820694
6.883333,0.08760212
6.9,0.09292997
6.916667,0.09710251
6.933333,0.1014253
6.95,0.1047
6.966667,0.1033672
6.983333,0.1148464
7,0.1039064
7.016667,0.1016264
7.033333,0.09950378
7.05,0.09792461
7.066667,0.09848757
7.083333,0.09769733
7.1,0.09858195
7.116667,0.09506111
7.133333,0.09612431
7.15,0.1039466
7.166667,0.09976621
7.183333,0.1136526
7.2,0.1160924
7.216667,0.1261466
7.233333,0.1224304
7.25,0.1410331
7.266667,0.1480583
7.283333,0.1521362
7.3,0.1666165
7.316667,0.1825629
7.333333,0.2057854
7.35,0.2323247
7.366667,0.2645051
7.383333,0.2948406
7.4,0.350632
7.416667,0.4139321
7.433333,0.4887175
7.45,0.5674396
7.466667,0.6637661
7.483333,0.7718232
7.5,0.911392
7.516667,1.059522
7.533333,1.215734
7.55,1.401057
7.566667,1.608305
7.583333,1.856508
7.6,2.10567
7.616667,2.377445
7.633333,2.665985
7.65,2.971371
7.666667,3.285305
7.683333,3.606381
7.7,3.900473
7.716667,4.200896
7.733333,4.480282
7.75,4.712224
7.766667,4.931847
7.783333,5.130307
7.8,5.331363
7.816667,5.522695
7.833333,5.722425
7.85,5.942646
7.866667,6.17245
7.883333,6.367418
7.9,6.577161
7.916667,6.723437
7.933333,6.865775
7.95,6.917556
7.966667,6.92924
7.983333,6.847255
8,6.712856
8.016667,6.571227
8.033333,6.365574
8.05,6.16936
8.066667,5.948912
8.083333,5.742614
8.1,5.552585
8.116667,5.379798
8.133333,5.259008
8.15,5.135709
8.166667,5.05461
8.183333,5.013659
8.2,4.982798
8.216667,4.967303
8.233333,4.995983
8.25,5.042412
8.266667,5.089459
8.283333,5.173781
8.3,5.263856
8.316667,5.390962
8.333333,5.544015
8.35,5.745072
8.366667,5.951144
8.383333,6.229901
8.4,6.532792
8.416667,6.885129
8.433333,7.292515
8.45,7.747183
8.466667,8.19668
8.483333,8.670379
8.5,9.140441
8.516667,9.565798
8.533333,9.927555
8.55,10.25979
8.566667,10.48723
8.583333,10.64148
8.6,10.69078
8.616667,10.68234
8.633333,10.57652
8.65,10.43213
8.666667,10.21497
8.683333,9.926253
8.7,9.635666
8.716667,9.246714
8.733333,8.854795
8.75,8.490109
8.766667,8.096968
8.783333,7.691119
8.8,7.309579
8.816667,6.930996
8.833333,6.533893
8.85,6.194594
8.866667,5.876575
8.883333,5.539586
8.9,5.242099
8.916667,4.953629
8.933333,4.681107
8.95,4.420264
8.966667,4.17356
8.983333,3.922438
9,3.697947
9.016667,3.457373
9.033333,3.240461
9.05,3.035638
9.066667,2.810636
9.083333,2.59504
9.1,2.386761
9.116667,2.196519
9.133333,1.998033
9.15,1.818683
9.166667,1.655683
9.183333,1.4904
9.2,1.329417
9.216667,1.188606
9.233333,1.06287
9.25,0.929413
9.266667,0.8372393
9.283333,0.739935
9.3,0.6456587
9.316667,0.5766294
9.333333,0.5074445
9.35,0.4387178
9.366667,0.3955561
9.383333,0.3448773
9.4,0.3092984
9.416667,0.2723697
9.433333,0.2501484
9.45,0.2210765
9.466667,0.1981206
9.483333,0.1837818
9.5,0.157898
9.516667,0.1548493
9.533333,0.1483201
9.55,0.140484
9.566667,0.1249923
9.583333,0.1231231
9.6,0.1111305
9.616667,0.1037139
9.633333,0.102116
9.65,0.0943801
9.666667,0.09219919
9.683333,0.09836745
9.7,0.0974393
9.716667,0.08628856
9.733333,0.08521831
9.75,0.08074256
9.766667,0.07926251
9.783333,0.0728057
9.8,0.08283154
9.816667,0.07442763
9.833333,0.07041644
9.85,0.06631865
9.866667,0.07160582
9.883333,0.06170641
9.9,0.06324146
9.916667,0.06163684
9.933333,0.05979719
9.95,0.05849899
9.966667,0.05826328
9.983333,0.05655501
10,0.05624648
